image_path,relative_path,dataset,location,top_category,confidence,is_empty,fish,coral,marine_animal,vegetation,sand_seafloor,rocks,shipwreck_debris,man_made_structure,diver,open_water,murky_turbid,dark_overexposed,blurry_corrupt
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03920.png,2023-09-03-11-37-57/camera/03920.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.7319,False,0.0000,0.0006,0.0001,0.0012,0.0027,0.0073,0.7319,0.1492,0.0004,0.0010,0.0931,0.0036,0.0089
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03921.png,2023-09-03-11-37-57/camera/03921.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.7158,False,0.0001,0.0012,0.0003,0.0020,0.0040,0.0087,0.7158,0.1427,0.0005,0.0006,0.1032,0.0053,0.0157
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03922.png,2023-09-03-11-37-57/camera/03922.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.6558,False,0.0001,0.0037,0.0001,0.0039,0.0057,0.0271,0.6558,0.1694,0.0006,0.0016,0.1035,0.0081,0.0205
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03923.png,2023-09-03-11-37-57/camera/03923.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.6035,False,0.0001,0.0022,0.0001,0.0025,0.0048,0.0192,0.6035,0.1723,0.0005,0.0027,0.1651,0.0079,0.0192
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03924.png,2023-09-03-11-37-57/camera/03924.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.5970,False,0.0000,0.0011,0.0000,0.0021,0.0023,0.0121,0.5970,0.3148,0.0003,0.0012,0.0565,0.0030,0.0095
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03925.png,2023-09-03-11-37-57/camera/03925.png,sunboat,2023-09-03-11-37-57,murky_turbid,0.4811,True,0.0002,0.0020,0.0001,0.0051,0.0035,0.0052,0.3089,0.1598,0.0005,0.0041,0.4811,0.0101,0.0193
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03926.png,2023-09-03-11-37-57/camera/03926.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.7105,False,0.0000,0.0009,0.0001,0.0034,0.0015,0.0054,0.7105,0.1953,0.0002,0.0005,0.0774,0.0012,0.0037
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03927.png,2023-09-03-11-37-57/camera/03927.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.6341,False,0.0002,0.0026,0.0001,0.0060,0.0044,0.0080,0.6341,0.1295,0.0004,0.0010,0.2041,0.0025,0.0072
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03928.png,2023-09-03-11-37-57/camera/03928.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.5909,False,0.0002,0.0041,0.0002,0.0053,0.0042,0.0090,0.5909,0.2293,0.0003,0.0017,0.1371,0.0051,0.0126
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03929.png,2023-09-03-11-37-57/camera/03929.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.7036,False,0.0001,0.0012,0.0001,0.0023,0.0020,0.0041,0.7036,0.1763,0.0002,0.0008,0.0963,0.0030,0.0100
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03930.png,2023-09-03-11-37-57/camera/03930.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.6165,False,0.0002,0.0039,0.0002,0.0034,0.0025,0.0128,0.6165,0.2523,0.0005,0.0013,0.0831,0.0063,0.0168
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03931.png,2023-09-03-11-37-57/camera/03931.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.6552,False,0.0001,0.0038,0.0001,0.0036,0.0042,0.0137,0.6552,0.1535,0.0006,0.0009,0.1448,0.0043,0.0151
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03932.png,2023-09-03-11-37-57/camera/03932.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.6288,False,0.0001,0.0021,0.0002,0.0024,0.0049,0.0094,0.6288,0.2802,0.0005,0.0008,0.0524,0.0043,0.0139
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03933.png,2023-09-03-11-37-57/camera/03933.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.7353,False,0.0001,0.0018,0.0001,0.0018,0.0033,0.0095,0.7353,0.1919,0.0006,0.0008,0.0409,0.0041,0.0098
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03934.png,2023-09-03-11-37-57/camera/03934.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.4098,False,0.0002,0.0044,0.0003,0.0116,0.0064,0.0194,0.4098,0.2326,0.0022,0.0031,0.2385,0.0222,0.0493
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03935.png,2023-09-03-11-37-57/camera/03935.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.7136,False,0.0000,0.0034,0.0001,0.0017,0.0021,0.0571,0.7136,0.1290,0.0010,0.0008,0.0742,0.0046,0.0125
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03936.png,2023-09-03-11-37-57/camera/03936.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.4872,False,0.0002,0.0056,0.0002,0.0044,0.0028,0.0525,0.4872,0.1572,0.0028,0.0033,0.2419,0.0150,0.0269
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03937.png,2023-09-03-11-37-57/camera/03937.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.4942,False,0.0001,0.0029,0.0002,0.0061,0.0040,0.0293,0.4942,0.2372,0.0015,0.0029,0.1875,0.0140,0.0199
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03938.png,2023-09-03-11-37-57/camera/03938.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.3620,False,0.0002,0.0067,0.0002,0.0053,0.0056,0.0505,0.3620,0.2485,0.0029,0.0065,0.2408,0.0264,0.0442
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03939.png,2023-09-03-11-37-57/camera/03939.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.3482,False,0.0003,0.0061,0.0005,0.0056,0.0051,0.0588,0.3482,0.1752,0.0060,0.0073,0.2452,0.0468,0.0948
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03940.png,2023-09-03-11-37-57/camera/03940.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.5619,False,0.0003,0.0079,0.0003,0.0050,0.0054,0.0711,0.5619,0.1346,0.0030,0.0051,0.1619,0.0141,0.0294
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03941.png,2023-09-03-11-37-57/camera/03941.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.5289,False,0.0002,0.0037,0.0002,0.0055,0.0043,0.0246,0.5289,0.2158,0.0024,0.0050,0.1705,0.0159,0.0230
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03942.png,2023-09-03-11-37-57/camera/03942.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.6414,False,0.0003,0.0013,0.0001,0.0049,0.0019,0.0149,0.6414,0.1677,0.0016,0.0023,0.1471,0.0057,0.0107
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03943.png,2023-09-03-11-37-57/camera/03943.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.7168,False,0.0004,0.0039,0.0002,0.0026,0.0016,0.0373,0.7168,0.1286,0.0020,0.0027,0.0960,0.0022,0.0058
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03944.png,2023-09-03-11-37-57/camera/03944.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.6618,False,0.0006,0.0055,0.0002,0.0043,0.0025,0.0417,0.6618,0.1007,0.0012,0.0049,0.1608,0.0052,0.0106
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03945.png,2023-09-03-11-37-57/camera/03945.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.7934,False,0.0001,0.0013,0.0001,0.0028,0.0015,0.0147,0.7934,0.1230,0.0008,0.0020,0.0538,0.0019,0.0045
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03946.png,2023-09-03-11-37-57/camera/03946.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.6176,False,0.0001,0.0018,0.0001,0.0038,0.0026,0.0145,0.6176,0.2561,0.0009,0.0043,0.0813,0.0049,0.0119
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03947.png,2023-09-03-11-37-57/camera/03947.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.4426,False,0.0001,0.0025,0.0001,0.0129,0.0014,0.0143,0.4426,0.3164,0.0010,0.0019,0.1863,0.0056,0.0148
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03948.png,2023-09-03-11-37-57/camera/03948.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.5171,False,0.0001,0.0029,0.0001,0.0145,0.0015,0.0110,0.5171,0.2629,0.0010,0.0023,0.1617,0.0064,0.0185
